hour,pv_kw,P_DAC,P_PEM,P_MeOH,P_grid,P_curt,P_ch,P_dis,CO2_prod_mol_s,H2_prod_mol_s,F_CO2_mol_s,F_H2_mol_s,MeOH_kg_h,CO2_storage_mol,H2_storage_mol,Battery_energy_kWh,n_ready,n_sat,n_ads,n_des,n_cool
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
8,6.723182,0,0,0,0,6.723182,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
9,435.537175,0,0,0,0,435.537175,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
10,634.747145,0,0,0,0,634.747145,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
11,769.296847,0,0,0,0,769.296847,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
12,802.24751,0,0,0,0,802.24751,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
13,797.275098,0,0,0,0,797.275098,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
14,727.208754,0,0,0,0,727.208754,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
15,523.51582,0,0,0,0,523.51582,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
16,306.28221,0,0,0,0,306.28221,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
17,49.723554,0,0,0,0,49.723554,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
